name,rounds__name,rounds__matches__num,rounds__matches__date,rounds__matches__time,rounds__matches__team1__name,rounds__matches__team1__code,rounds__matches__team2__name,rounds__matches__team2__code,rounds__matches__score1,rounds__matches__score2,rounds__matches__score1i,rounds__matches__score2i,rounds__matches__score1et,rounds__matches__score2et,rounds__matches__score1p,rounds__matches__score2p,rounds__matches__knockout,rounds__matches__goals1__name,rounds__matches__goals1__minute,rounds__matches__goals1__offset,rounds__matches__goals1__score1,rounds__matches__goals1__score2,rounds__matches__goals1__owngoal,rounds__matches__goals1__penalty,rounds__matches__goals2__name,rounds__matches__goals2__minute,rounds__matches__goals2__offset,rounds__matches__goals2__score1,rounds__matches__goals2__score2,rounds__matches__goals2__penalty,rounds__matches__goals2__owngoal,rounds__matches__group,rounds__matches__stadium__key,rounds__matches__stadium__name,rounds__matches__city,rounds__matches__timezone
World Cup 2014,Matchday 12,33,2014-06-23,17:00,Cameroon,CMR,Brazil,BRA,1,4,null,null,,,,,,Joel Matip,26,,1,1,,,Neymar,17,,0,1,,,Group A,nacionaldebrasilia,Estádio Nacional (Mané Garrincha),Brasília,UTC-3
World Cup 2014,Matchday 12,,2014-06-23,17:00,Cameroon,CMR,Brazil,BRA,,,,,,,,,,,,,,,,,Neymar,35,,1,2,,,Group A,nacionaldebrasilia,Estádio Nacional (Mané Garrincha),Brasília,UTC-3
World Cup 2014,Matchday 12,,2014-06-23,17:00,Cameroon,CMR,Brazil,BRA,,,,,,,,,,,,,,,,,Fred,49,,1,3,,,Group A,nacionaldebrasilia,Estádio Nacional (Mané Garrincha),Brasília,UTC-3
World Cup 2014,Matchday 12,,2014-06-23,17:00,Cameroon,CMR,Brazil,BRA,,,,,,,,,,,,,,,,,Fernandinho,84,,1,4,,,Group A,nacionaldebrasilia,Estádio Nacional (Mané Garrincha),Brasília,UTC-3
World Cup 2014,Matchday 12,34,2014-06-23,17:00,Croatia,CRO,Mexico,MEX,1,3,null,null,,,,,,Ivan Perišić,87,,1,3,,,Rafael Márquez,72,,0,1,,,Group A,pernambuco,Arena Pernambuco,Recife,UTC-3
World Cup 2014,Matchday 12,,2014-06-23,17:00,Croatia,CRO,Mexico,MEX,,,,,,,,,,,,,,,,,Andres Guardado,75,,0,2,,,Group A,pernambuco,Arena Pernambuco,Recife,UTC-3
World Cup 2014,Matchday 12,,2014-06-23,17:00,Croatia,CRO,Mexico,MEX,,,,,,,,,,,,,,,,,Javier Hernández,82,,0,3,,,Group A,pernambuco,Arena Pernambuco,Recife,UTC-3
World Cup 2014,Matchday 12,35,2014-06-23,13:00,Australia,AUS,Spain,ESP,0,3,null,null,,,,,,,,,,,,,David Villa,36,,0,1,,,Group B,dabaixada,Arena da Baixada,Curitiba,UTC-3
World Cup 2014,Matchday 12,35,2014-06-23,13:00,Australia,AUS,Spain,ESP,,,,,,,,,,,,,,,,,Fernando Torres,69,,0,2,,,Group B,dabaixada,Arena da Baixada,Curitiba,UTC-3
World Cup 2014,Matchday 12,35,2014-06-23,13:00,Australia,AUS,Spain,ESP,,,,,,,,,,,,,,,,,Juan Mata,82,,0,3,,,Group B,dabaixada,Arena da Baixada,Curitiba,UTC-3
World Cup 2014,Matchday 12,36,2014-06-23,13:00,Netherlands,NED,Chile,CHI,2,0,null,null,,,,,,Leroy Fer,77,,1,0,,,,,,,,,,Group B,corinthians,Arena Corinthians,São Paulo,UTC-3
World Cup 2014,Matchday 12,36,2014-06-23,13:00,Netherlands,NED,Chile,CHI,,,,,,,,,,Memphis Depay,90,2,2,0,,,,,,,,,,Group B,corinthians,Arena Corinthians,São Paulo,UTC-3
World Cup 2014,Matchday 13,37,2014-06-24,16:00,Japan,JPN,Colombia,COL,1,4,null,null,,,,,,Shinji Okazaki,45,1,1,1,,,Juan Cuadrado,17,,0,1,True,,Group C,pantanal,Arena Pantanal,Cuiabá,UTC-4
World Cup 2014,Matchday 13,37,2014-06-24,16:00,Japan,JPN,Colombia,COL,,,,,,,,,,,,,,,,,Jackson Martínez,55,,1,2,,,Group C,pantanal,Arena Pantanal,Cuiabá,UTC-4
World Cup 2014,Matchday 13,37,2014-06-24,16:00,Japan,JPN,Colombia,COL,,,,,,,,,,,,,,,,,Jackson Martínez,82,,1,3,,,Group C,pantanal,Arena Pantanal,Cuiabá,UTC-4
World Cup 2014,Matchday 13,37,2014-06-24,16:00,Japan,JPN,Colombia,COL,,,,,,,,,,,,,,,,,James Rodríguez,90,,1,4,,,Group C,pantanal,Arena Pantanal,Cuiabá,UTC-4
World Cup 2014,Matchday 13,38,2014-06-24,17:00,Greece,GRE,Côte d'Ivoire,CIV,2,1,null,null,,,,,,Andreas Samaris,42,,1,0,,,Wilfried Bony,74,,1,1,,,Group C,castelao,Estádio Castelão,Fortaleza,UTC-3
World Cup 2014,Matchday 13,38,2014-06-24,17:00,Greece,GRE,Côte d'Ivoire,CIV,,,,,,,,,,Georgios Samaras,90,3,2,1,,True,,,,,,,,Group C,castelao,Estádio Castelão,Fortaleza,UTC-3
